mapname,jensen
Afghanistan,NA
Albania,Albania
Algeria,Algeria
Andorra,NA
Angola,NA
Antarctica,NA
Antigua and Barbuda,NA
Argentina,Argentina
Armenia,NA
Australia,Australia
Austria,Austria
Azerbaijan,NA
"Bahamas, The",NA
Bahrain,Bahrain
Bangladesh,Bangladesh
Barbados,NA
Belgium,NA
Belize,NA
Benin,Benin
Bermuda,NA
Bhutan,NA
Bolivia,Bolivia
Bosnia and Herzegovina,NA
Botswana,Botswana
Brazil,Brazil
Brunei,NA
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Burundi,Burundi
Byelarus,Belarus
Cambodia,NA
Cameroon,Cameroon
Canada,Canada
Cape Verde,NA
Central African Republic,Central African Republic
Chad,Chad
Chile,Chile
China,China
Colombia,Colombia
Comoros,Comoros
Congo,"Congo, Rep."
Costa Rica,Costa Rica
Croatia,Croatia
Cuba,NA
Cyprus,NA
Czech Republic,Czech Republic
Denmark,Denmark
Djibouti,NA
Dominica,NA
Dominican Republic,NA
Ecuador,Ecuador
Egypt,"Egypt, Arab Rep."
El Salvador,NA
Equatorial Guinea,NA
Eritrea,NA
Estonia,Estonia
Ethiopia,Ethiopia
Falkland Islands (Islas Malvinas),NA
Faroe Islands,NA
Fiji,Fiji
Finland,Finland
France,France
French Guiana,NA
French Polynesia,NA
Gabon,Gabon
"Gambia, The","Gambia, The"
Gaza Strip,NA
Georgia,NA
Germany,Germany
Ghana,Ghana
Greece,Greece
Greenland,NA
Grenada,NA
Guadeloupe,NA
Guatemala,Guatemala
Guinea,Guinea
Guinea-Bissau,NA
Guyana,Guyana
Haiti,Haiti
Honduras,Honduras
Hong Kong,NA
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
Iran,"Iran, Islamic Rep."
Iraq,NA
Iraq-Saudi Arabia Neutral Zone,NA
Ireland,Ireland
Isle of Man,NA
Israel,Israel
Italy,Italy
Ivory Coast,Cote d'Ivoire
Jamaica,Jamaica
Jan Mayen,NA
Japan,Japan
Jordan,Jordan
Kazakhstan,NA
Kenya,Kenya
Kerguelen,NA
Kiribati,NA
"Korea, Peoples Republic of",NA
"Korea, Republic of","Korea, Rep."
Kuwait,Kuwait
Kyrgyzstan,NA
Laos,NA
Latvia,Latvia
Lebanon,NA
Lesotho,Lesotho
Liberia,NA
Libya,NA
Liechtenstein,NA
Lithuania,Lithuania
Luxembourg,NA
Macau,NA
Macedonia,NA
Madagascar,Madagascar
Malawi,Malawi
Malaysia,Malaysia
Maldives,NA
Mali,Mali
Malta,NA
Martinique,NA
Mauritania,NA
Mauritius,NA
Mexico,Mexico
Moldova,NA
Monaco,NA
Mongolia,Mongolia
Montenegro,NA
Morocco,Morocco
Mozambique,NA
Myanmar (Burma),NA
Namibia,Namibia
Nepal,Nepal
Netherlands,Netherlands
New Caledonia,NA
New Zealand,New Zealand
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
Northern Mariana Islands,NA
Norway,Norway
Oman,Oman
Pakistan,Pakistan
Panama,Panama
Papua New Guinea,NA
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Puerto Rico,NA
Qatar,NA
Reunion,NA
Romania,Romania
Russia,Russian Federation
Rwanda,Rwanda
San Marino,NA
Sao Tome and Principe,NA
Saudi Arabia,NA
Senegal,Senegal
Seychelles,NA
Sierra Leone,Sierra Leone
Singapore,Singapore
Slovakia,NA
Slovenia,NA
Solomon Islands,NA
Somalia,NA
South Africa,South Africa
Spain,Spain
Sri Lanka,Sri Lanka
St. Christopher-Nevis,NA
St. Lucia,NA
St. Vincent and the Grenadines,NA
Sudan,Sudan
Suriname,NA
Svalbard,NA
Swaziland,Swaziland
Sweden,Sweden
Switzerland,Switzerland
Syria,Syrian Arab Republic
Taiwan,NA
Tajikistan,NA
"Tanzania, United Republic of",NA
Thailand,Thailand
Timor-Leste,NA
Togo,Togo
Tonga,NA
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Turkmenistan,NA
Turks and Caicos Islands,NA
Uganda,Uganda
Ukraine,NA
United Arab Emirates,NA
United Kingdom,United Kingdom
United States,United States
Uruguay,Uruguay
Uzbekistan,NA
Vanuatu,NA
Venezuela,Venezuela
Vietnam,NA
Western Sahara,NA
Western Samoa,NA
Yemen,"Yemen, Rep."
Yugoslavia,NA
Zaire,"Congo, Dem. Rep."
Zambia,Zambia
Zimbabwe,Zimbabwe
